"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Slipknot","Aiden","M","0","Ramirez","192.57424","paid","New York-Newark-Jersey City, NY-NJ-PA","19","Opium Of The People (Album Version)","20"
"Cat Stevens","Aiden","M","1","Ramirez","170.57914","paid","New York-Newark-Jersey City, NY-NJ-PA","19","Don't Be Shy","20"
"Collective Soul","Aiden","M","2","Ramirez","273.47546","paid","New York-Newark-Jersey City, NY-NJ-PA","19","Run (LP Version)","20"
"Taylor Swift","Aiden","M","3","Ramirez","233.89995","paid","New York-Newark-Jersey City, NY-NJ-PA","19","Love Story","20"
"The Dixie Cups","Aiden","M","4","Ramirez","120.05832","paid","New York-Newark-Jersey City, NY-NJ-PA","19","Iko Iko","20"
"Carlos Santana & Mahavishnu John McLaughlin","Aiden","M","5","Ramirez","157.93587","paid","New York-Newark-Jersey City, NY-NJ-PA","19","Meditation","20"
"Pixies","Aiden","M","6","Ramirez","280.00608","paid","New York-Newark-Jersey City, NY-NJ-PA","19","Into The White","20"
"Antimatter","Aiden","M","7","Ramirez","245.52444","paid","New York-Newark-Jersey City, NY-NJ-PA","19","Lights Out","20"
"Rihanna","Christian","F","1","Porter","293.82485","free","Elkhart-Goshen, IN","10","Rehab","11"
"Soda Stereo","Aiden","M","8","Ramirez","186.69669","paid","New York-Newark-Jersey City, NY-NJ-PA","19","ObservÃÂ¡ndonos (SatÃÂ©lites)","20"
"Metallica","Jahiem","M","1","Miles","387.02975","free","San Antonio-New Braunfels, TX","265","Welcome Home (Sanitarium)","43"
"Adam Lambert","Jahiem","M","2","Miles","227.39546","free","San Antonio-New Braunfels, TX","265","Whataya Want From Me","43"
"Beirut","Jahiem","M","3","Miles","185.28608","free","San Antonio-New Braunfels, TX","265","The Flying Club Cup","43"
"Russell Malone","Jahiem","M","4","Miles","396.40771","free","San Antonio-New Braunfels, TX","265","Heartstrings","43"
"Yung Joc feat Jazze Pha","Jacqueline","F","1","Lynch","233.19465","free","Atlanta-Sandy Springs-Roswell, GA","353","Momma (featuring Jazze Pha) (Amended Album Version)","29"
"Metallica","Jacqueline","F","5","Lynch","515.21261","paid","Atlanta-Sandy Springs-Roswell, GA","353","Master Of Puppets","29"
"Pavement","Marina","F","0","Sutton","99.16036","free","Salinas, CA","188","Mercy:The Laundromat","48"
"Andre Hazes","Tegan","F","1","Levine","195.36934","free","Portland-South Portland, ME","342","Che Sara","80"
"Joan Baez","Tegan","F","5","Levine","215.14404","paid","Portland-South Portland, ME","342","Let It Be","80"
"Porcupine Tree","Tegan","F","6","Levine","217.39057","paid","Portland-South Portland, ME","342","Hallogallo","80"
"Coldplay","Tegan","F","8","Levine","228.77995","paid","Portland-South Portland, ME","342","In My Place","80"
"Usher","Tegan","F","9","Levine","224.10404","paid","Portland-South Portland, ME","342","Hey Daddy (Daddy's Home)","80"
"Fabolous","Tegan","F","10","Levine","222.9024","paid","Portland-South Portland, ME","342","Can't Let You Go featuring Mike Shorey & Lil' Mo  (Main LP Version)","80"
"Sheena Easton","Tegan","F","11","Levine","239.62077","paid","Portland-South Portland, ME","342","Strut (1993 Digital Remaster)","80"
"Restiform Bodies","Tegan","F","12","Levine","229.14567","paid","Portland-South Portland, ME","342","Interactive Halloween Bear","80"
"The Killers","Tegan","F","14","Levine","284.60363","paid","Portland-South Portland, ME","342","Spaceman","80"
"Kaiser Chiefs","Tegan","F","15","Levine","217.62567","paid","Portland-South Portland, ME","342","Everyday I Love You Less and Less","80"
"Delerium","Tegan","F","17","Levine","275.01669","paid","Portland-South Portland, ME","342","Till The End Of Time","80"
"Christophe MaÃÂ©","Tegan","F","18","Levine","237.47873","paid","Portland-South Portland, ME","342","La Rumeur","80"
"F.I.R.","Tegan","F","19","Levine","283.6371","paid","Portland-South Portland, ME","342","Ni Hen Ai Ta","80"
"Pearl Jam","Tegan","F","20","Levine","268.7473","paid","Portland-South Portland, ME","342","Better Man","80"
"Fey","Stefany","F","0","White","266.86649","free","Lubbock, TX","258","Como Un ÃÂngel","83"
"Delerium feat. Sarah McLachlan","Tegan","F","21","Levine","494.81098","paid","Portland-South Portland, ME","342","Silence","80"
"Newton Faulkner","Stefany","F","1","White","177.3971","free","Lubbock, TX","258","I Need Something","83"
"Justice","Tegan","F","22","Levine","265.16853","paid","Portland-South Portland, ME","342","Waters Of Nazareth (album version)","80"
"Muse","Tegan","F","23","Levine","209.34485","paid","Portland-South Portland, ME","342","Supermassive Black Hole (Album Version)","80"
"Bebo & Cigala","Tegan","F","24","Levine","175.90812","paid","Portland-South Portland, ME","342","Vete De Mi","80"
"The Almost","Tegan","F","25","Levine","222.24934","paid","Portland-South Portland, ME","342","Dirty And Left Out","80"
"BeyoncÃÂ©","Tegan","F","26","Levine","374.59546","paid","Portland-South Portland, ME","342","Get Me Bodied","80"
"Base Ball Bear","Tegan","F","27","Levine","255.60771","paid","Portland-South Portland, ME","342","Sayonara-Nostalgia","80"
"Badly Drawn Boy","Tegan","F","28","Levine","247.97995","paid","Portland-South Portland, ME","342","This Is That New Song","80"
"Alicia Keys","Tegan","F","29","Levine","249.02485","paid","Portland-South Portland, ME","342","Try Sleeping With A Broken Heart","80"
"The Black Keys","Tegan","F","30","Levine","208.01261","paid","Portland-South Portland, ME","342","Girl Is On My Mind","80"
"Juanes","Tegan","F","31","Levine","205.73995","paid","Portland-South Portland, ME","342","A Dios Le Pido","80"
"John Mayer","Tegan","F","32","Levine","149.39383","paid","Portland-South Portland, ME","342","Crossroads","80"
"The xx","Tegan","F","33","Levine","188.55138","paid","Portland-South Portland, ME","342","Basic Space","80"
"The Killers","Tegan","F","34","Levine","220.89098","paid","Portland-South Portland, ME","342","When You Were Young","80"
"The Prodigy","Tegan","F","35","Levine","260.07465","paid","Portland-South Portland, ME","342","The Big Gundown","80"
"Machine Head","Tegan","F","36","Levine","333.13914","paid","Portland-South Portland, ME","342","A Nation On Fire (Album Version)","80"
"Coldplay","Tegan","F","37","Levine","291.60444","paid","Portland-South Portland, ME","342","Speed Of Sound","80"
"Michael Jackson","Tegan","F","39","Levine","373.73342","paid","Portland-South Portland, ME","342","Little Susie / Pie Jesu","80"
"Daddy Yankee","Tegan","F","40","Levine","235.15383","paid","Portland-South Portland, ME","342","A Lo Clasico","80"
"Flobots","Tegan","F","41","Levine","307.56526","paid","Portland-South Portland, ME","342","Never Had It","80"
"Quantic","Tegan","F","42","Levine","275.01669","paid","Portland-South Portland, ME","342","When You're Through Feat. Spanky Wilson","80"
"New Order","Tegan","F","43","Levine","261.72036","paid","Portland-South Portland, ME","342","Love Vigilantes","80"
"Cold","Tegan","F","44","Levine","197.27628","paid","Portland-South Portland, ME","342","No One","80"
"Counting Crows","Tegan","F","45","Levine","272.79628","paid","Portland-South Portland, ME","342","Mr. Jones","80"
"DEATH","Tegan","F","46","Levine","376.81587","paid","Portland-South Portland, ME","342","Symbolic","80"
"Vangelis","Hayden","F","1","Brock","352.78322","paid","Detroit-Warren-Dearborn, MI","117","La Petite Fille De La Mer","72"
"Armin van Buuren","Tegan","F","47","Levine","452.23138","paid","Portland-South Portland, ME","342","Never Say Never","80"
"Justin Bieber","Hayden","F","2","Brock","222.92853","paid","Detroit-Warren-Dearborn, MI","117","Stuck In The Moment","72"
"Sleep","Hayden","F","3","Brock","426.84036","paid","Detroit-Warren-Dearborn, MI","117","Evil Gypsy - Solomons Theme","72"
"Lady GaGa / Colby O'Donis","Tegan","F","48","Levine","238.54975","paid","Portland-South Portland, ME","342","Just Dance","80"
"Kings Of Leon","Tegan","F","49","Levine","201.79546","paid","Portland-South Portland, ME","342","Revelry","80"
"Leon Gieco","Hayden","F","4","Brock","285.02159","paid","Detroit-Warren-Dearborn, MI","117","La Colina De La Vida","72"
"U2","Tegan","F","50","Levine","190.98077","paid","Portland-South Portland, ME","342","Vertigo","80"
"George Jones and Gene Pitney","Hayden","F","5","Brock","166.3473","paid","Detroit-Warren-Dearborn, MI","117","Wreck On the Highway","72"
"Kanye West","Tegan","F","51","Levine","203.4673","paid","Portland-South Portland, ME","342","Homecoming","80"
